city,category,Review_Count
110 Las Vegas,Auto Repair,63
110 Las Vegas,Automotive,63
110 Las Vegas,Oil Change Stations,63
110 Las Vegas,Smog Check Stations,63
Ahwahtukee,Carpet Cleaning,15
Ahwahtukee,Home Cleaning,15
Ahwahtukee,Home Services,15
Ahwahtukee,Local Services,15
Ahwahtukee,Office Cleaning,15
Ahwahtukee,Professional Services,15
Ahwatukee,Active Life,6
Ahwatukee,Automotive,6
Ahwatukee,Barbers,22
Ahwatukee,Bars,176
Ahwatukee,Beauty & Spas,27
Ahwatukee,Breakfast & Brunch,176
Ahwatukee,Burgers,7
Ahwatukee,Car Rental,27
Ahwatukee,Carpet Cleaning,4
Ahwatukee,Coffee & Tea,270
Ahwatukee,Cosmetic Dentists,22
Ahwatukee,Creperies,270
Ahwatukee,Dentists,22
Ahwatukee,Dog Walkers,11
Ahwatukee,Dry Cleaning & Laundry,37
Ahwatukee,Education,6
Ahwatukee,Eyelash Service,5
Ahwatukee,Fast Food,7
Ahwatukee,Fitness & Instruction,6
Ahwatukee,Food,281
Ahwatukee,Gastropubs,176
Ahwatukee,General Dentistry,22
Ahwatukee,Grocery,4
Ahwatukee,Hair Salons,22
Ahwatukee,Health & Medical,22
Ahwatukee,Health Markets,4
Ahwatukee,Home Services,11
Ahwatukee,Hotels & Travel,27
Ahwatukee,Irrigation,5
Ahwatukee,Italian,238
Ahwatukee,Landscaping,5
Ahwatukee,Local Services,52
Ahwatukee,Men's Hair Salons,22
Ahwatukee,Movers,6
Ahwatukee,Nightlife,176
Ahwatukee,Oral Surgeons,22
Ahwatukee,Orthodontists,22
Ahwatukee,Packing Supplies,6
Ahwatukee,Pet Services,11
Ahwatukee,Pet Sitting,11
Ahwatukee,Pets,11
Ahwatukee,Pizza,238
Ahwatukee,Restaurants,691
Ahwatukee,Sandwiches,238
Ahwatukee,Self Storage,6
Ahwatukee,Sewing & Alterations,37
Ahwatukee,Shopping,6
Ahwatukee,Skin Care,5
Ahwatukee,Specialty Food,4
Ahwatukee,Specialty Schools,6
Ahwatukee,Swimming Lessons/Schools,6
Ahwatukee,Tapas/Small Plates,176
Ahwatukee,Truck Rental,6
Ahwatukee,Wine Bars,176
Ahwatukee Foothills Village,Active Life,9
Ahwatukee Foothills Village,Hiking,9
Alburg,Bed & Breakfast,5
Alburg,Event Planning & Services,5
Alburg,Hotels,5
Alburg,Hotels & Travel,5
Alburgh,Home Services,3
Alburgh,Tree Services,3
Allegheny,Landmarks & Historical Buildings,6
Allegheny,Public Services & Government,6
Allison Park,Active Life,66
Allison Park,American (New),282
Allison Park,American (Traditional),250
Allison Park,Apartments,3
Allison Park,Appliances,3
Allison Park,Arts & Crafts,6
Allison Park,Asian Fusion,83
Allison Park,Auto Detailing,30
Allison Park,Auto Loan Providers,6
Allison Park,Auto Parts & Supplies,5
Allison Park,Auto Repair,42
Allison Park,Automotive,71
Allison Park,Bagels,11
Allison Park,Bakeries,20
Allison Park,Banks & Credit Unions,3
Allison Park,Bars,120
Allison Park,Battery Stores,6
Allison Park,Beauty & Spas,34
Allison Park,Beer,27
Allison Park,Beer Bar,25
Allison Park,Body Shops,13
Allison Park,Books,7
Allison Park,Breakfast & Brunch,11
Allison Park,Bridal,14
Allison Park,Burgers,10
Allison Park,Cafes,75
Allison Park,Car Dealers,9
Allison Park,Car Rental,4
Allison Park,Car Wash,24
Allison Park,Cards & Stationery,3
Allison Park,Challenge Courses,20
Allison Park,Chicken Wings,24
Allison Park,Child Care & Day Care,3
Allison Park,Children's Clothing,14
Allison Park,Chinese,5
Allison Park,Chiropractors,8
Allison Park,Comfort Food,22
Allison Park,Comic Books,7
Allison Park,Contractors,8
Allison Park,Convenience Stores,4
Allison Park,Custom Cakes,9
Allison Park,Dance Clubs,8
Allison Park,Departments of Motor Vehicles,9
Allison Park,Desserts,9
Allison Park,Dim Sum,5
Allison Park,Diners,12
Allison Park,Doctors,11
Allison Park,Donuts,11
Allison Park,Drugstores,4
Allison Park,Dry Cleaning & Laundry,3
Allison Park,Education,3
Allison Park,Elementary Schools,3
Allison Park,Event Planning & Services,37
Allison Park,Eyewear & Opticians,12
Allison Park,Fashion,14
Allison Park,Fast Food,7
Allison Park,Financial Services,7
Allison Park,Firewood,3
Allison Park,Fish & Chips,22
Allison Park,Fishing,29
Allison Park,Fitness & Instruction,7
Allison Park,Floral Designers,3
Allison Park,Florists,6
Allison Park,Flowers & Gifts,6
Allison Park,Food,89
Allison Park,Food Trucks,27
