city,category,Star_Rating,rank_ordered_business
Savoy,Vintage & Consignment,5.0,1
Cleveland Heights,Education,5.0,2
Edinburgh,Makeup Artists,5.0,3
Gastonia,Home Health Care,5.0,4
Sewickley,Distilleries,5.0,5
Tempe,Cardiologists,5.0,6
Mississauaga,Pilates,5.0,7
Independence,Specialty Schools,5.0,8
Imperial,Laundry Services,5.0,9
Aurora,Resorts,5.0,10
Avondale,Periodontists,5.0,11
New Kensington,International Grocery,5.0,12
Cottage Grove,Towing,5.0,13
Belmont,Tattoo Removal,5.0,14
Creighton,Automotive,5.0,15
Lakewood,Boot Camps,5.0,16
Concord,Home Inspectors,5.0,17
Saint Joseph,Arts & Crafts,5.0,18
Ridgeville,Coffee & Tea,5.0,19
Huntersville,Tattoo,5.0,20
De Forest,Nurseries & Gardening,5.0,21
Lachine,Thai,5.0,22
Mount Holly,Landscaping,5.0,23
Cleveland Heights,Yelp Events,5.0,24
Oregon,Sports Medicine,5.0,25
Belmont,Roofing,5.0,26
Cave Creek,Security Systems,5.0,27
Sun Prairie,Mortgage Brokers,5.0,28
Point Claire,Shopping,5.0,29
Mahomet,Paint & Sip,5.0,30
Highland Heights,Hair Stylists,5.0,31
Chesterland,Cooking Schools,5.0,32
Boulder City,Sewing & Alterations,5.0,33
Lyndhurst,Event Photography,5.0,34
Cornelius,Traditional Chinese Medicine,5.0,35
Lakewood,Interval Training Gyms,5.0,36
Saint Joseph,Barbers,5.0,37
Huntersville,Photographers,5.0,38
Phoenix,Hazardous Waste Disposal,5.0,39
Phoenix,Mobile Home Dealers,5.0,40
Toronto,Cremation Services,5.0,41
Waddell,Cupcakes,5.0,42
Boulder City,Pawn Shops,5.0,43
Brunswick,Acupuncture,5.0,44
North Ridgeville,Real Estate,5.0,45
Carnegie,Personal Chefs,5.0,46
Sun Prairie,Public Services & Government,5.0,47
Filderstadt,Parking,5.0,48
Etobicoke,Print Media,5.0,49
Surprise,Mobile Dent Repair,5.0,50
West Mifflin,Event Photography,5.0,51
Streetsboro,Day Spas,5.0,52
Mount Holly,Hotels & Travel,5.0,53
Fountain Hills,Auto Customization,5.0,54
Toronto,Employment Law,5.0,55
Concord Township,Active Life,5.0,56
Wesley Chapel,Photographers,5.0,57
Lorain,Water Heater Installation/Repair,5.0,58
Mississauga,Pet Adoption,5.0,59
Robinson Township,Art Classes,5.0,60
Gibsonia,Cardio Classes,5.0,61
Harrisburg,Child Care & Day Care,5.0,62
Brooklyn,Men's Hair Salons,5.0,63
Monroeville,Heating & Air Conditioning/HVAC,5.0,64
Palgrave,American (Traditional),5.0,65
Saint-Hubert,Event Planning & Services,5.0,66
Middleton,Laser Hair Removal,5.0,67
El Mirage,Golf Cart Rentals,5.0,68
Indian Land,Chiropractors,5.0,69
Shaker Heights,Churches,5.0,70
De Forest,Health & Medical,5.0,71
Surprise,Commercial Real Estate,5.0,72
Henderson,Appraisal Services,5.0,73
Cave Creek,Cabinetry,5.0,74
Summerlin,Heating & Air Conditioning/HVAC,5.0,75
Euclid,Dentists,5.0,76
Bath,Appliances & Repair,5.0,77
Mississauga,Pawn Shops,5.0,78
Pineville,Tabletop Games,5.0,79
Fountain Hills,Estate Planning Law,5.0,80
Fort Mill,Financial Advising,5.0,81
Montréal,Public Art,5.0,82
Pittsburgh,Shared Office Spaces,5.0,83
Mesa,Private Investigation,5.0,84
Middleton,Business Consulting,5.0,85
Mahomet,New Mexican Cuisine,5.0,86
Fort Mill,Interior Design,5.0,87
Schönaich,Health & Medical,5.0,88
Litchfield Park,Cupcakes,5.0,89
Lakewood,Makeup Artists,5.0,90
Avon,Wheel & Rim Repair,5.0,91
Mentor On the Lake,Property Management,5.0,92
Cave Creek,Auto Customization,5.0,93
Springfield,Restaurants,5.0,94
Coraopolis,Electronics Repair,5.0,95
South Park Township,Mini Golf,5.0,96
Avon Lake,Yoga,5.0,97
Summerlin,Pet Transportation,5.0,98
Waxhaw,Motorcycle Repair,5.0,99
Tempe,Countertop Installation,5.0,100
Sun Prairie,Yoga,5.0,101
Tempe,Magicians,5.0,102
Lorain,Real Estate Services,5.0,103
Paradise Valley,Medical Centers,5.0,104
Boulder City,Challenge Courses,5.0,105
Belmont,Emergency Pet Hospital,5.0,106
Westlake,Reflexology,5.0,107
Lake Wylie,Handyman,5.0,108
Goodyear,Tutoring Centers,5.0,109
Goodyear,Carpeting,5.0,110
Brookpark,Carpet Cleaning,5.0,111
Cleveland,Flight Instruction,5.0,112
Paradise Valley,Weight Loss Centers,5.0,113
Montréal,Holistic Animal Care,5.0,114
Elizabeth,Party Supplies,5.0,115
Rocky River,Interior Design,5.0,116
Peoria,Cooking Schools,5.0,117
Edinburgh,Traditional Chinese Medicine,5.0,118
Sun City,Meat Shops,5.0,119
Mississauga,Montessori Schools,5.0,120
Mississauga,Officiants,5.0,121
Concord Township,Summer Camps,5.0,122
Pheonix,Auto Parts & Supplies,5.0,123
Whitby,Heating & Air Conditioning/HVAC,5.0,124
Dollard-des-Ormeaux,Falafel,5.0,125
West View,Florists,5.0,126
North Las Vegas,Podiatrists,5.0,127
Litchfield,Skin Care,5.0,128
Rocky River,Mattresses,5.0,129
Lorain,Watches,5.0,130
Parma,Limos,5.0,131
North Royalton,Florists,5.0,132
Brookpark,Appliances,5.0,133
El Mirage,Real Estate Services,5.0,134
Cornelius,Carpet Installation,5.0,135
Coraopolis,Reflexology,5.0,136
Vaughan,Arts & Crafts,5.0,137
North Royalton,Makeup Artists,5.0,138
Olmsted Township,Home Services,5.0,139
Moon Township,Professional Services,5.0,140
Rocky River,Bike Rentals,5.0,141
Scotesdale,Feng Shui,5.0,142
Litchfield Park,Massage Therapy,5.0,143
Gilbert,Brazilian Jiu-jitsu,5.0,144
West Mifflin,Plumbing,5.0,145
Huntersville,Towing,5.0,146
Willoughby,Hiking,5.0,147
Gibsonia,Specialty Food,5.0,148
Edinburgh,Session Photography,5.0,149
Scottsdale,Trailer Dealers,5.0,150
Ajax,Mobile Phone Repair,5.0,151
Parma,Chiropractors,5.0,152
North Las Vegas,Investing,5.0,153
Lakewood,Skate Shops,5.0,154
Phoenix,Self-defense Classes,5.0,155
Oakwood Village,Oil Change Stations,5.0,156
Stuttgart,Bespoke Clothing,5.0,157
Scarborough,Butcher,5.0,158
Avon Lake,Barbers,5.0,159
Tempe,Hydrotherapy,5.0,160
Gibsonia,Home Window Tinting,5.0,161
Cuyahoga Falls,Jewelry,5.0,162
Mississauga,Tanning Beds,5.0,163
Toronto,Sleep Specialists,5.0,164
Imperial,Limos,5.0,165
Scottsdale,Paintball,5.0,166
Carefree,Arts & Crafts,5.0,167
