category,Star_Rating
Pet Photography,5.0
Ayurveda,5.0
Cafeteria,5.0
Software Development,5.0
Packing Supplies,5.0
Home Window Tinting,5.0
Aquarium Services,5.0
Wallpapering,5.0
Event Photography,5.0
Real Estate Photography,5.0
Cardio Classes,5.0
Wedding Chapels,5.0
Music Production Services,5.0
Advertising,5.0
Tai Chi,5.0
Disc Golf,5.0
Bus Tours,5.0
Diving,5.0
Wine Tours,5.0
House Sitters,5.0
Customized Merchandise,5.0
Wine Tasting Classes,5.0
Insulation Installation,5.0
Special Education,5.0
Hydro-jetting,5.0
Adult Entertainment,5.0
Tutoring Centers,5.0
Gunsmith,5.0
Acne Treatment,5.0
Nail Technicians,5.0
Float Spa,5.0
Security Services,5.0
Rolfing,5.0
Decks & Railing,5.0
Private Tutors,5.0
Auto Security,5.0
Auto Upholstery,5.0
Funeral Services & Cemeteries,5.0
Furniture Rental,5.0
Session Photography,5.0
Furniture Repair,5.0
Scuba Diving,5.0
High Fidelity Audio Equipment,5.0
Spiritual Shop,5.0
Test Preparation,5.0
Septic Services,5.0
Personal Chefs,5.0
Montessori Schools,5.0
Permanent Makeup,4.875
Dance Schools,4.833333333333333
Paint & Sip,4.833333333333333
Pilates,4.833333333333333
Graphic Design,4.8125
Barre Classes,4.8125
Photo Booth Rentals,4.75
Food Tours,4.75
Screen Printing/T-Shirt Printing,4.75
Team Building Activities,4.75
Cycling Classes,4.75
Butcher,4.75
Fishing,4.75
Auto Customization,4.75
Refinishing Services,4.75
Pet Hospice,4.75
Art Schools,4.75
Dog Walkers,4.722222222222222
Distilleries,4.7
Packing Services,4.666666666666667
Business Consulting,4.666666666666667
Saunas,4.666666666666667
Drywall Installation & Repair,4.666666666666667
Interval Training Gyms,4.642857142857143
Marketing,4.642857142857143
Hiking,4.642857142857143
Personal Shopping,4.625
Tea Rooms,4.625
Challenge Courses,4.625
Videographers,4.6
Data Recovery,4.6
Wineries,4.6
Web Design,4.55
Martial Arts,4.55
Boxing,4.5
Botanical Gardens,4.5
Framing,4.5
Walking Tours,4.5
Boat Dealers,4.5
Seafood Markets,4.5
Architectural Tours,4.5
Condominiums,4.5
Bespoke Clothing,4.5
Bartenders,4.5
Chiropractors,4.5
Knife Sharpening,4.5
International Grocery,4.5
Furniture Reupholstery,4.5
Bike tours,4.5
Paint-Your-Own Pottery,4.5
Officiants,4.5
Speakeasies,4.5
Swimwear,4.5
Photographers,4.5
Radiologists,4.5
Emergency Rooms,4.5
Gastroenterologist,4.5
Flight Instruction,4.5
Pressure Washers,4.5
Leisure Centers,4.5
TV Mounting,4.5
Threading Services,4.5
Home Automation,4.5
Indoor Landscaping,4.5
Aircraft Dealers,4.5
Races & Competitions,4.5
Anesthesiologists,4.5
Observatories,4.5
Metal Fabricators,4.5
Screen Printing,4.5
Solar Installation,4.5
Hot Pot,4.5
Reptile Shops,4.5
Whiskey Bars,4.5
Malaysian,4.5
Colombian,4.5
Soccer,4.5
Country Clubs,4.5
Tasting Classes,4.5
Shaved Ice,4.5
DJs,4.5
Cooking Classes,4.5
Motorsport Vehicle Dealers,4.5
Party Bike Rentals,4.5
